word,level,pos,thai,definition
abolish,C1,verb,ยกเลิก,"To end a law, system, institution, custom or practice."
abortion,C1,noun,การทำแท้ง,"The expulsion from the womb of a foetus or embryo before it is fully developed, with loss of the foetus; either naturally as a spontaneous abortion (now usually called a miscarriage), or deliberately as an induced abortion."
absence,C1,noun,การขาดหายไป,A state of being away or withdrawn from a place or from companionship; the period of being away.
absent,C1,adjective,ไม่มา,"(with definite article) Something absent, especially absent people collectively; those who were or are not there."
absorb,B2,verb,ดูดซับ,To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.
abstract,B2,adjective,เชิงนามธรรม,An abridgement or summary of a longer publication.
absurd,C1,adjective,ไร้สาระ,An absurdity.
abundance,C1,noun,ความอุดมสมบูรณ์,A large quantity; many.
abuse,C1,noun/verb,ใช้ในทางที่ผิด,"Improper treatment or usage; application to a wrong or bad purpose; an unjust, corrupt or wrongful practice or custom."
academy,C1,noun,สถาบัน,(usually capitalized) The garden where Plato taught.
accelerate,C1,verb,เร่งความเร็ว,To cause to move faster; to quicken the motion of; to add to the speed of.
accent,B2,noun,สำเนียง,A higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.
acceptance,C1,noun,การยอมรับ,"The act of accepting; a receiving of something offered, with acquiescence, approbation, or satisfaction; especially, favourable reception; approval."
accessible,C1,adjective,สามารถเข้าถึงได้,Easy of access or approach.
accidentally,B2,adverb,โดยไม่ตั้งใจ,"In an accidental manner; by chance, unexpectedly."
accommodate,B2,verb,รองรับ,"To render fit, suitable, or correspondent; to adapt."
accomplish,B2,verb,ทำให้สำเร็จ,To finish successfully.
accomplishment,C1,noun,ความสำเร็จ,The act of accomplishing; completion; fulfilment.
accordance,C1,noun,ตามความสอดคล้อง,Agreement; harmony; conformity; compliance.
accordingly,C1,adverb,ดังนั้น,(manner) Agreeably; correspondingly; suitably
accountability,C1,noun,ความรับผิดชอบ,The state of being accountable; liability to be called on to render an account; accountableness; responsible for; answerable for.
accountable,C1,adjective,รับผิดชอบ,"Obliged, when called upon, to answer (for one’s deeds); answerable."
accountant,B2,noun,นักบัญชี,One who renders account; one accountable.
accumulate,C1,verb,สะสม,To heap up in a mass; to pile up; to collect or bring together (either literally or figuratively)
accumulation,C1,noun,การสะสม,"The act of amassing or gathering, as into a pile."
accuracy,B2,noun,ความแม่นยำ,"The state of being accurate; being free from mistakes, this exemption arising from carefulness; exactness; correctness"
accurately,B2,adverb,ถูกต้อง,In an accurate manner; exactly; precisely; without error or defect.
accusation,C1,noun,ข้อกล่าวหา,The act of accusing.
accused,C1,noun,ผู้ถูกกล่าวหา,"To find fault with, blame, censure"
acid,B2,noun,กรด,A sour substance.
acid,C1,adjective,กรด,A sour substance.
acquisition,C1,noun,การได้มาซึ่งกิจการ,The act or process of acquiring.
acre,C1,noun,เอเคอร์,"An English unit of land area (symbol: a. or ac.) originally denoting a day's plowing for a yoke of oxen, now standardized as 4,840 square yards or 4,046.86 square meters."
activate,B2,verb,เปิดใช้งาน,To encourage development or induce increased activity; to stimulate.
activation,C1,noun,การเปิดใช้งาน,Making active and effective; bringing into a state of activity.
activist,B2,noun,นักกิจกรรม,"One who is politically active in the role of a citizen; especially, one who campaigns for change."
acute,B2,adjective,เฉียบพลัน,"A person who has the acute form of a disorder, such as schizophrenia."
adaptation,B2,noun,การปรับตัว,"The process of adapting something or becoming adapted to a situation; adjustment, modification."
addiction,B2,noun,การเสพติด,"A state that is characterized by compulsive drug use or compulsive engagement in rewarding behavior, despite negative consequences."
